ability_name,radiant_win,item_id,duration,first_blood_time
ability_base,TRUE,44,2375,1
default_attack,FALSE,29,2582,221
attribute_bonus,FALSE,43,2716,190
antimage_mana_break,FALSE,84,3085,40
antimage_blink,TRUE,46,1887,58
antimage_spell_shield,TRUE,13,1574,113
antimage_mana_void,TRUE,44,2124,4
axe_berserkers_call,TRUE,46,2328,255
axe_battle_hunger,FALSE,20,2002,4
axe_counter_helix,FALSE,73,2961,85
axe_culling_blade,TRUE,46,1562,143
bane_brain_sap,FALSE,180,3280,76
bane_enfeeble,FALSE,59,3995,3
bane_fiends_grip,TRUE,46,2452,120
bane_nightmare,TRUE,42,1728,27
bloodseeker_bloodrage,FALSE,40,3122,101
bloodseeker_blood_bath,FALSE,46,3318,252
bloodseeker_thirst,TRUE,46,3798,4
bloodseeker_rupture,FALSE,37,2820,168
drow_ranger_frost_arrows,TRUE,42,2234,112
drow_ranger_silence,TRUE,42,2284,208
drow_ranger_trueshot,TRUE,46,2019,49
drow_ranger_marksmanship,TRUE,218,2754,4
earthshaker_fissure,TRUE,43,2742,4
earthshaker_enchant_totem,FALSE,46,2986,79
earthshaker_aftershock,TRUE,60,2430,5
earthshaker_echo_slam,TRUE,21,1499,108
juggernaut_blade_dance,FALSE,46,2116,111
juggernaut_blade_fury,TRUE,46,2201,9
juggernaut_healing_ward,FALSE,23,3388,80
juggernaut_omni_slash,TRUE,22,2420,2
kunkka_torrent,FALSE,216,1707,6
kunkka_tidebringer,TRUE,108,1749,4
kunkka_x_marks_the_spot,FALSE,46,3429,138
kunkka_return,TRUE,46,1953,47
kunkka_ghostship,FALSE,216,2033,208
lina_dragon_slave,TRUE,56,1745,12
lina_light_strike_array,TRUE,39,3174,68
lina_fiery_soul,FALSE,44,2886,115
lina_laguna_blade,FALSE,39,3291,85
lion_impale,FALSE,182,2946,268
lion_voodoo,TRUE,38,2461,74
lion_mana_drain,TRUE,38,2798,102
lion_finger_of_death,FALSE,38,1934,95
mirana_arrow,TRUE,29,4348,210
mirana_invis,TRUE,46,3098,228
mirana_leap,FALSE,41,2599,274
mirana_starfall,TRUE,25,1568,21
morphling_waveform,TRUE,46,2872,76
morphling_adaptive_strike,TRUE,63,2424,252
morphling_morph,FALSE,17,2248,110
morphling_morph_agi,FALSE,34,3454,106
morphling_morph_str,FALSE,23,3355,17
morphling_replicate,FALSE,27,1741,72
morphling_morph_replicate,TRUE,102,2723,245
nevermore_shadowraze1,TRUE,23,2162,206
nevermore_shadowraze2,TRUE,21,3514,5
nevermore_shadowraze3,FALSE,46,1848,82
nevermore_necromastery,FALSE,60,2983,44
nevermore_dark_lord,FALSE,46,3296,19
nevermore_requiem,FALSE,22,2906,22
phantom_lancer_spirit_lance,TRUE,108,2200,0
phantom_lancer_doppelwalk,TRUE,9,2272,56
phantom_lancer_juxtapose,FALSE,46,2641,18
phantom_lancer_phantom_edge,TRUE,46,2296,183
puck_illusory_orb,TRUE,46,2053,5
puck_ethereal_jaunt,TRUE,58,3145,95
puck_waning_rift,TRUE,119,2187,4
puck_phase_shift,TRUE,61,1650,0
